OBJECTID;Anlage;Adresse;Typ;Gruppe;Lon;Lat
321;Billard-Sport-Arena;Bachlechnerstraße 46;Billard;Sonstiges;11,375669881;47,264522232
322;At Charly´s Friends;Adamgasse 23;Billard;Sonstiges;11,398642827;47,260846172
323;Pool Café;Müllerstraße 27;Billard;Sonstiges;11,390696587;47,261066513
324;Billardlokal Verein Little Pool Team Innsbruck;Reichenauer Straße 19;Billard;Sonstiges;11,410479309;47,270304416
325;Billardlokal Tiroler Pool Billard Trainingszentrum;Dörrstraße 51;Billard;Sonstiges;11,437208898;47,27857605
326;Billardlokal Verein BC Grand Prix Innsbruck;Innrain 102;Billard;Sonstiges;11,378540289;47,257703545
327;WUB-Skatehalle;Matthias-Schmid-Straße 12;Skate-/Rollerbladehalle;Funsport;11,414491172;47,277074832
328;Funsportzentrum Innsbruck;Paschbergweg 3;Tennishalle;Tennis/Squash;11,407089216;47,254302271
329;Sporthalle BORG Fallmerayerstraße;Fallmerayerstraße 7;Sporthalle;Sporthalle;11,393195389;47,263281975
330;Minigolf Kranebitter Hof;Kranebitter Allee 203;Minigolfanlage;Golf/Minigolf;11,328755366;47,262163218
